"@timestamp","agent.name","event.code","process.name","process.executable","network.protocol","network.transport","source.ip","destination.ip"
"Jun 10, 2025 @ 10:45:45.483","DESKTOP-NIU0UCP",1,"mobsync.exe","C:\Windows\System32\mobsync.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:45.446","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:45.428","DESKTOP-NIU0UCP",5,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:45.258","DESKTOP-NIU0UCP",5,"ClipRenew.exe","C:\Windows\System32\ClipRenew.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:45.089","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","52.191.219.104"
"Jun 10, 2025 @ 10:45:45.079","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:44.954","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","20.12.23.50"
"Jun 10, 2025 @ 10:45:44.943","DESKTOP-NIU0UCP",1,"BackgroundTransferHost.exe","C:\Windows\System32\BackgroundTransferHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:44.783","DESKTOP-NIU0UCP",1,"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:44.674","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:44.673","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:44.285","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:44.249","DESKTOP-NIU0UCP","-","-","-",http,tcp,"192.168.4.100","23.9.220.6"
"Jun 10, 2025 @ 10:45:44.096","DESKTOP-NIU0UCP",1,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.920","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:43.851","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","13.107.5.91"
"Jun 10, 2025 @ 10:45:43.829","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","52.191.219.104"
"Jun 10, 2025 @ 10:45:43.656","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:43.577","DESKTOP-NIU0UCP","-","-","-",icmp,"ipv6-icmp","fe80::cc2e:bad8:e8ee:4393","ff02::2"
"Jun 10, 2025 @ 10:45:43.570","DESKTOP-NIU0UCP",5,"dllhost.exe","C:\Windows\System32\dllhost.exe","-","-","-","-"
